method,iou,f1,auprc,precision,recall,coverage,positive_coverage,unresolved_positive_mass
croma,0.14703016248338122,0.22201560811513718,0.4613394599042899,0.15856612132071618,0.42673008743760144,0.3777006172839506,0.40949799700397177,0.5905020029960283
oamae,0.15016213349555504,0.2222193327297823,0.44454337920250164,0.15740067719013964,0.44973146552020676,0.3777006172839506,0.40949799700397177,0.5905020029960283
unet_s1s2,0.10656421386046554,0.17067960104913193,0.3132690019296418,0.12301148985413593,0.3421999812129211,0.3777006172839506,0.40949799700397177,0.5905020029960283
unet_s2,0.06886928588754264,0.11517636393364598,0.14672122901900023,0.08572269507449301,0.23393014507210674,0.3777006172839506,0.40949799700397177,0.5905020029960283
